id,title,subtitle,level,links,quadrant,titre,auteur,duree,type,hash_id,summary,keywords,Titre_BTC
9e7fc69ba4079bd65decf67d41800a50,education,ecroulement du syteme educatif,1,https://www.youtube.com/watch?v=4XUUIqpomH0,comment bitcoin change societe,"EDUCATION VS ChatGPT, BLOCKCHAIN & BITCOIN",THE BITCOIN FAMILY Didi Taihuttu,00:12:31,Video Youtube,9e4ae3a02f72e765b316d26e7877f2ea9d5ba8eb97ed058f9f79d913dbca8742,"En se promenant dans un joli parc à Laguna en Thaïlande, l'auteur a visionné des vidéos anciennes où il était attaqué à la télévision pour son choix éducatif basé sur le Bitcoin et la blockchain. Il souligne l'importance de préparer les enfants pour un avenir décentralisé et technologique, mettant en avant l'évolution des intelligences artificielles comme ChatGPT. Il partage sa conviction que l'éducation traditionnelle doit évoluer pour s'adapter à ces nouvelles technologies et encourage la créativité et l'ouverture d'esprit des enfants.","éducation, effondrement du système éducatif, Bitcoin, société, blockchain, intelligence artificielle, enfants, technologie, école, homeschooling",Le futur de l'éducation : l'effondrement du système éducatif traditionnel et l'émergence de la technologie Bitcoin
32ef598679b8b3550b9c352ad898c564,education,attrait des modeles alternatifs,1,https://www.youtube.com/watch?v=4XUUIqpomH0,comment bitcoin change societe,"EDUCATION VS ChatGPT, BLOCKCHAIN & BITCOIN",THE BITCOIN FAMILY Didi Taihuttu,00:12:31,Video Youtube,4b50c45c9de2de9c275087e5b5848e816146fa9551c3581373abca20b09d530c,"Dans un parc à Laguna en Thaïlande, l'auteur, Didi Taihuttu du groupe The Bitcoin Family, se remémore une critique reçue à la télévision sur l'éducation alternative axée sur Bitcoin. Il défend l'idée d'une éducation adaptée au futur décentralisé, opposée à la simple mémorisation de livres obsolètes. Il souligne l'émergence de technologies comme ChatGPT et la blockchain, prédisant un avenir où l'intelligence artificielle révolutionnera l'apprentissage et la vie quotidienne.","education, modeles alternatifs, bitcoin, societe, decentralise, blockchain, chat GPT, intelligence artificielle, futur, algorithmes, cryptocurrencies, apprentissage, technology, evolution, ecole, homeschooling, unschooling, socialisation, valeurs, normes, intelligence artificielle, machine, communication, paiement, smart houses, entites, evolution, technologies, decentralisation, gouvernements, banques centrales, vaccinations, sante, liberté, transactions, decentralisation, pouvoir, information, votes, decisions, influence, systeme, humanite, Schwabs, ADN, lizards.",
e789193aca3888f4585c112888fad003,acheter du btc,1. vue d'ensemble,1,https://www.youtube.com/watch?v=0dWf_iteNEk&list=PLinTFKehfR4wGzSb41gAaFFImT9c_hrJV&index=19,comment j'utilise bitcoin,Où et comment acheter des Bitcoins en 2021 - chapitre 5 [BTC 102],Découvre Bitcoin,00:09:17,Video Youtube,9a2969ab1a2c6d58625ce031228732a12a801a7e248c1a562fe41c10029853d2,"Dans cette vidéo, l'auteur Découvre Bitcoin présente comment acheter des Bitcoins en 2021, avec un focus sur les différentes options disponibles en fonction de votre profil. Il met en garde sur la volatilité de Bitcoin et encourage à une approche prudente, soulignant l'importance de bien se renseigner avant d'investir. Les différentes méthodes d'achat sont détaillées, allant des échanges réguliers aux plateformes en ligne, sans oublier les distributeurs physiques. Enfin, l'auteur insiste sur la simplicité et la sécurité dans l'acquisition et la conservation des Bitcoins.","acheter des Bitcoins, vue d'ensemble, utiliser bitcoin, cours, Bitcoin, investir, crypto-monnaie, échanges réguliers, portefeuille, options disponibles.",Les meilleures options pour acheter des bitcoins
161952cbab08a3c41d8b6cc4a6b70144,acheter du btc,1. vue d'ensemble,1,https://www.youtube.com/watch?v=YLyKHG-rAhY&list=PLinTFKehfR4wGzSb41gAaFFImT9c_hrJV&index=22,comment j'utilise bitcoin,"Stratégie Bitcoin : BUY THE DIP ! dans un ""bull market"" (marché haussier)",Découvre Bitcoin,00:05:50,Video Youtube,7437b7d793dbe29aea2f15490529b817beb54251f14fd3d389236fd0d5698356,"Roxy de Découvre Bitcoin présente une stratégie d'achat nommée ""BUY THE DIP"" pour investir dans le bitcoin. Cette approche consiste à profiter des baisses de prix importantes pour renforcer son portefeuille à long terme, en évitant la panique et en suivant une vision haussière du marché. En privilégiant les achats lors des corrections de 10 à 30%, cette stratégie simple mais efficace a prouvé son utilité pour maximiser les gains sur le long terme.","Acheter du btc, Bitcoin, Stratégie d'achat, Buy the dip, Marché haussier, Utilisation de Bitcoin, Stratégie d'entrée, Dollar cost averaging, Baisse du marché, Panic selling, Investissement, Cryptomonnaie, Bullrun Bitcoin, Cryptocurrency strategy.",
7d8f5c7e9180d10d9b48d649fc0bc780,acheter du btc,2.  dca: choisir une frequence d'achat,1,https://www.youtube.com/watch?v=YkvyUrOxI9Y&list=PLinTFKehfR4wGzSb41gAaFFImT9c_hrJV&index=20,comment j'utilise bitcoin,Stratégie Bitcoin - Acheter 10 € par semaine ?!,Découvre Bitcoin,00:05:49,Video Youtube,6ba3372cefa1b3479d1f31b84e348d3303dd63fe51a752b740302341652d09da,"Dans cette vidéo de Découvre Bitcoin intitulée ""Stratégie Bitcoin - Acheter 10 € par semaine ?!"", l'orateur explique le concept du dollar cost averaging (DCA) pour l'achat de bitcoins. Il souligne l'importance de répartir ses achats dans le temps pour accumuler progressivement des bitcoins, évitant ainsi les fluctuations de prix et la pression émotionnelle. En encourageant une approche à long terme, il insiste sur la discipline nécessaire pour maintenir une stratégie d'investissement régulière.","Bitcoin, achat BTC, dollar cost averaging, DCA, stratégie d'achat, investissement progressif, accumulation de bitcoins, épargne en bitcoin, achat régulier, volatilité du bitcoin, fear of missing out, gestion émotionnelle, long terme, plateforme d'achat, discipline d'achat, kraken, investir en bitcoin, acheter régulièrement.",Bitcoin : Adoptez la Stratégie du Dollar Cost Averaging pour un Investissement Progressif
389e0d3d9fe28ee2ea436ee2e198b413,acheter du btc,2.  dca: choisir une frequence d'achat,1,https://www.youtube.com/watch?v=mpT3kJDfRVw&list=PLinTFKehfR4wGzSb41gAaFFImT9c_hrJV&index=21,comment j'utilise bitcoin,"Création plan d'épargne Bitcoin - 50€/mois, tuto avec une débutante - [Tutoriel]",Découvre Bitcoin,00:13:31,Video Youtube,cb7a1e04078c2fbd27a552a63769342a9345104cfb2f4963626c12e3cd7362bb,Roxy et Mathilde collaborent pour mettre en place un plan d'épargne Bitcoin de 50€ par mois. Mathilde choisit d'utiliser Stacking Sat pour acheter régulièrement des bitcoins et crée un portefeuille Green Wallet pour sécuriser ses fonds. Elles discutent également de la gestion de ses clés privées et de la nécessité de sécuriser ses investissements. Le tutoriel de Découvre Bitcoin offre des conseils pratiques pour les débutants intéressés par l'achat de BTC.,"bitcoin, acheter, btc, dca, fréquence d'achat, utilisation, plan d'épargne, tutoriel, débutante, stacking sat, green wallet, sécurité, clé privée, virement récurrent, tutoriel vidéo.",
e8a4c5c3b41306b13da676d9aee92f97,acheter du btc,3. acheter du btc sur un exchange,1,https://www.youtube.com/watch?v=JVizZzRmJf8,comment j'utilise bitcoin,Comment acheter vos crypto-monnaies en quelques clics ?,Paymium,00:01:42,Video Youtube,f93e0a0e3a59b36064ccee8ec8529717af9bccba537fd4d9c47299a589680eb2,"Pour acheter vos crypto-monnaies en quelques clics, accédez à l'onglet ""Comptes Euro"" depuis votre tableau de bord, assurez-vous d'avoir des fonds sur votre compte de trading. Ensuite, cliquez sur ""Acheter ou Vendre"" ou sélectionnez ""Échanger"" dans le menu de gauche. Choisissez les devises de votre choix, saisissez le montant souhaité et vérifiez les détails de l'opération en temps réel. Vous pouvez également définir un pourcentage de votre solde disponible. Validez en glissant le bouton de confirmation et en cliquant sur le bouton de validation.","Acheter du btc, acheter du bitcoin, exchange, crypto-monnaies, acheter crypto-monnaies, utiliser bitcoin, euro accounts, trading account, swap, buy or sell, slider, available balance, transactions, history, Paymium wallet, paymium.com.",Comment acheter vos crypto-monnaies en quelques clics ?
d737c02a1d125996e28aaf4f6abaa8fd,acheter du btc,3. acheter du btc sur un exchange,1,https://www.youtube.com/watch?v=8g9aGQ53T_A&list=PLinTFKehfR4wGzSb41gAaFFImT9c_hrJV&index=23,comment j'utilise bitcoin,Tutoriel Bitstamp complet - (Achat-Vente de bitcoin + retrait),Découvre Bitcoin,00:18:41,Video Youtube,014c4be6acb46525b5fad146b60682b7ea28831b60ebcb5b8882a9530c2a5380,"Dans ce tutoriel complet de Découvre Bitcoin sur Bitstamp, vous apprendrez comment créer un compte sur cette plateforme d'achat et de vente de bitcoins. Des étapes de sécurisation, d'identification KYC, à l'achat et au retrait de bitcoins, chaque démarche est expliquée en détail. Des conseils pratiques sur la sécurisation des bitcoins, les virements SEPA, et l'utilisation d'un portefeuille froid sont également partagés. En suivant ces instructions, vous pourrez acheter et sécuriser vos bitcoins de manière autonome et sécurisée.","acheter du btc, achat bitcoin, vente de bitcoin, retrait, tutoriel Bitstamp, compte, plateforme d'achat, vente de bitcoin, Bitstamp, kraken, tutoriels, bitcoin, exchange, bitcoin, comment j'utilise bitcoin, mise en place compte Bitstamp, gestionnaire de mots de passe, sécurité, données personnelles, identification, vérification, pièce d'identité, compte bancaire, virement, sécurité compte, double facteur, Google Authenticator, transfert, frais, portefeuille froid, trésor, ledger, sécurité, héritage, fiscalité, support Bitstamp, kraken, questions, investissement financier, recherche, prudence",Comment acheter et sécuriser vos bitcoins sur Bitstamp
8fbec7650c3c5fd808b1c88943e763cc,acheter du btc,3. acheter du btc sur un exchange,1,https://www.youtube.com/watch?v=OxdgmDxOMRY&t=319s,comment j'utilise bitcoin,Citadel Dispatch E43: bitcoin for beginners with @BitcoinQ A,Citadel Dispatch,02:15:57,Video Youtube,20c610c4cc669308e3a2b8eb46c1b65c4a41254e6ec3ae573a8612acdd21abd6,"of your transaction. You can use fee estimation tools like Mempool.space to get an idea of the current fee rates and choose a fee level accordingly. Remember, higher fees will generally result in quicker confirmation times, but lower fees can also get confirmed, especially for less urgent transactions. It's a good practice to start with a conservative fee and adjust based on the current network conditions. And don't be afraid to experiment and learn from your transactions to get a better understanding of how fees work in the Bitcoin network.","acheter du btc, bitcoin, exchange, bitcoin for beginners, bitcoin nodes, verify transactions, mobile wallet, hardware wallet, spectre desktop, privacy, electrum server, coin join, on-chain privacy, UTXO management, transaction fees, mempool, fee estimation.",
9b5811d298593f144b8cfb3da4c20641,acheter du btc,1. vue d'ensemble,1,https://unchained.com/blog/ways-to-buy-bitcoin/,comment j'utilise bitcoin,,,,,,,,
