id,title,subtitle,level,links,quadrant,summary,descriptions,titles,titre,auteur,duree,type,hash_id,summary_bis,description_bis
9e7fc69ba4079bd65decf67d41800a50,education,ecroulement du syteme educatif,1,https://www.youtube.com/watch?v=4XUUIqpomH0,comment bitcoin change societe,"La personne parle d'une promenade dans un beau parc à Laguna, en Thaïlande. Elle mentionne avoir regardé des anciennes vidéos où ils étaient critiqués à la télévision sur un talk-show tardif en raison de leurs convictions dans la cryptomonnaie Bitcoin et l'éducation alternative.","Parc à Laguna en Thaïlande, Vidéos anciennes, Télévision et critique de l'éducation, Voyage dans le monde, Bitcoin et future décentralisé, Mémorisation des livres obsolète, Technologie blockchain et IA, Éducation des enfants, Chat GPT, Cryptomonnaies et Bitcoin, Écoles actuelles vs éducation future, Enseignement des enfants, Intelligence artificielle, Réforme scolaire, Importance de l'éducation, Évolution rapide du monde, Blockchain et cryptomonnaies, Communication entre machines","""Promenade à Laguna: Critiques télévisées sur Bitcoin et éducation alternative""","EDUCATION VS ChatGPT, BLOCKCHAIN & BITCOIN",THE BITCOIN FAMILY Didi Taihuttu,00:12:31,Video Youtube,9e4ae3a02f72e765b316d26e7877f2ea9d5ba8eb97ed058f9f79d913dbca8742,"L'auteur, THE BITCOIN FAMILY Didi Taihuttu, discute de l'éducation et de l'effondrement du système éducatif. Il souligne l'importance de Bitcoin et de la blockchain pour l'avenir de l'éducation, mettant en avant l'évolution vers un monde décentralisé. Les nouvelles technologies telles que ChatGPT et l'intelligence artificielle révolutionnent l'apprentissage en permettant des résumés rapides et une communication avancée entre entités. Il encourage à préparer les enfants à un avenir où la créativité et l'adaptabilité sont essentielles, tout en soulignant l","education, ecroulement du systeme educatif, Bitcoin, blockchain, chat GPT, decentralisation, intelligence artificielle, cryptocurrencies, formation, technologie"
32ef598679b8b3550b9c352ad898c564,education,attrait des modeles alternatifs,1,https://www.youtube.com/watch?v=4XUUIqpomH0,comment bitcoin change societe,"Le texte parle d'une personne se promenant dans un beau parc à Laguna, en Thaïlande, et regardant des vidéos anciennes où ils sont apparus dans une émission de télévision tardive. L'émission critiquait leur éducation et leur histoire d'aventure de voyage dans le monde, axée sur la croyance en Bitcoin et un avenir décentralisé de l'éducation.","Parc, Vidéos, Éducation, Voyage, Bitcoin, Décentralisation, Intelligence artificielle, Blockchain, GPT, Écoles, Mémorisation, Technologies, Enseignement à domicile, Apprentissage non structuré, Compétences sociales, Cryptomonnaies, Réforme scolaire, Réseaux sociaux, Changements dans l'éducation, Rapidité de l'évolution du monde, Communication machine à machine, Paiements automatisés","""Exploration des souvenirs télévisuels et des rêves de décentralisation à Laguna, Thaïlande""","EDUCATION VS ChatGPT, BLOCKCHAIN & BITCOIN",THE BITCOIN FAMILY Didi Taihuttu,00:12:31,Video Youtube,4b50c45c9de2de9c275087e5b5848e816146fa9551c3581373abca20b09d530c,"Le contenu vidéo aborde le thème de l'éducation et explore l'attrait des modèles alternatifs, en se demandant comment le bitcoin va changer la société. L'auteur, THE BITCOIN FAMILY Didi Taihuttu, partage son expérience de voyager dans le monde entier en croyant en un avenir décentralisé grâce à la blockchain et au Bitcoin. Il souligne l'importance de préparer les enfants à un futur où la mémorisation traditionnelle des livres est remplacée par des compétences créatives et une compréhension des technologies émergentes telles que chat GPT et les cryptomonnaies.","Education, attrait des modèles alternatifs, Bitcoin, Blockchain, ChatGPT, intelligence artificielle, technologie, éducation alternative, futur de l'éducation, révolution technologique."
e789193aca3888f4585c112888fad003,acheter du btc,1. vue d'ensemble,1,https://www.youtube.com/watch?v=0dWf_iteNEk&list=PLinTFKehfR4wGzSb41gAaFFImT9c_hrJV&index=19,comment j'utilise bitcoin,"La vidéo aborde les diverses options pour acheter des bitcoins en fonction des différences individuelles telles que l'âge, le revenu et le lieu de résidence des spectateurs. L'importance de choisir la meilleure option adaptée à chacun est soulignée, avec une mise en garde sur les risques potentiels liés à l'investissement dans les bitcoins.","Introduction aux bitcoins, Risques et avertissements sur les investissements en bitcoins, Nécessité de connaître les risques avant d'investir, Absence de garanties sur la valeur du bitcoin, Mise en garde contre l'investissement excessif, Importance d'avoir une stratégie d'investissement, Mise en garde contre la volatilité du bitcoin, Encouragement à se renseigner davantage sur le bitcoin, Recommandation de travailler pour obtenir des bitcoins, Absence de solution miracle pour investir en bitcoins, Responsabilité personnelle dans les investissements, Méthodes d","""Guide d'achat de bitcoins: Adaptation personnalisée et mise en garde sur les risques""",Où et comment acheter des Bitcoins en 2021 - chapitre 5 [BTC 102],Découvre Bitcoin,00:09:17,Video Youtube,9a2969ab1a2c6d58625ce031228732a12a801a7e248c1a562fe41c10029853d2,"Bonjour tout le monde, bienvenue à tous ! Aujourd'hui, on attaque une vidéo pilier de mon cours sur comment acheter des bitcoins. Selon votre profil et votre situation, vous aurez différentes options. Si vous tombez dans le terrier bitcoin, vous risquez de regagner votre liberté. Il est essentiel de savoir dans quoi vous vous lancez et de prendre les risques en connaissance de cause.","acheter du btc, acheter des Bitcoins, btc, bitcoin, vidéo youtube, vue d'ensemble, comment j'utilise bitcoin, Où et comment acheter des Bitcoins en 2021, cours bitcoin, échanges réguliers, plan bitcoin"
161952cbab08a3c41d8b6cc4a6b70144,acheter du btc,1. vue d'ensemble,1,https://www.youtube.com/watch?v=YLyKHG-rAhY&list=PLinTFKehfR4wGzSb41gAaFFImT9c_hrJV&index=22,comment j'utilise bitcoin,"La vidéo discute d'une stratégie d'achat de Bitcoin appelée ""bayer de deep"". Elle met en garde sur les risques du trading de Bitcoin, soulignant que c'est un actif spéculatif. L'importance de prendre ses propres décisions et de mener sa propre recherche est soulignée.","Stratégie d'achat pour Bitcoin : Bayer de Deep, Achat progressif vs. Achat en cas de crash, Stratégie ""Buy the Dip"" (Acheter la baisse), Acheter lors de retracements de 10-30%, Vision à long terme, Stratégie d'entrée sur le marché, Réserves pour opportunités de crash, Réflexion sur les achats en fonction des baisses de prix, Approche d'achat en fonction des corrections du marché, Utilisation d'alarmes pour surveiller les prix","""Acheter de manière réfléchie : Comprendre les risques du trading de Bitcoin""","Stratégie Bitcoin : BUY THE DIP ! dans un ""bull market"" (marché haussier)",Découvre Bitcoin,00:05:50,Video Youtube,7437b7d793dbe29aea2f15490529b817beb54251f14fd3d389236fd0d5698356,"La vidéo aborde une stratégie d'achat de Bitcoin appelée ""buy the dip"" pour profiter des baisses de prix. L'auteur recommande d'acheter lorsque le marché connaît des chutes de 10 à 30 %, en se concentrant sur un investissement à long terme. Cette approche vise à saisir les opportunités de baisse de prix et à profiter des futures hausses du marché.","Les mots-clés pertinents pour le contenu ""Stratégie Bitcoin : BUY THE DIP ! dans un ""bull market"" (marché haussier)"" sont : Bitcoin, acheter du btc, stratégie d'achat, buy the dip, marché haussier, investissement, crash, retracement, long terme, bullrun."
7d8f5c7e9180d10d9b48d649fc0bc780,acheter du btc,2.  dca: choisir une frequence d'achat,1,https://www.youtube.com/watch?v=YkvyUrOxI9Y&list=PLinTFKehfR4wGzSb41gAaFFImT9c_hrJV&index=20,comment j'utilise bitcoin,"Le texte aborde le concept financier du dollar cost averaging, qui consiste à répartir un investissement en plusieurs paiements étalés dans le temps plutôt que de tout investir en une seule fois.","Dollar Cost Averaging, Stratégie d'investissement, Volatilité du Bitcoin, Accumulation de Bitcoins, Épargne à long terme, Achats échelonnés, Gestion des émotions, Investissement progressif, Plan financier personnel, Objectif financier, Plateformes d'achat de cryptomonnaies","""Dollar Cost Averaging: L'art de l'investissement progressif""",Stratégie Bitcoin - Acheter 10 € par semaine ?!,Découvre Bitcoin,00:05:49,Video Youtube,6ba3372cefa1b3479d1f31b84e348d3303dd63fe51a752b740302341652d09da,"Bonjour à tous et bienvenue dans le thème du dollar cost averaging (DCA). L'achat en moyenne lissée consiste à diviser ses achats de bitcoins sur le temps pour des montants plus petits, offrant ainsi une approche progressive et prudente. Cette méthode permet d'investir dans le bitcoin sans avoir besoin de sommes importantes immédiatement, favorisant l'accumulation d'épargne sur le long terme. Il est crucial d'avoir une stratégie claire d'investissement pour éviter les fluctuations de prix et maximiser les gains potentiels.","acheter du btc, dca, frequence d'achat, bitcoin, dollar cost averaging, accumulation de bitcoin, stratégie d'achat, prix volatiles, investir dans bitcoin, long terme"
389e0d3d9fe28ee2ea436ee2e198b413,acheter du btc,2.  dca: choisir une frequence d'achat,1,https://www.youtube.com/watch?v=mpT3kJDfRVw&list=PLinTFKehfR4wGzSb41gAaFFImT9c_hrJV&index=21,comment j'utilise bitcoin,Roxy et Mathilde discutent de l'achat de bitcoins. Mathilde souhaite en acheter mais ne sait pas comment s'y prendre. Roxy l'aide en mettant en place un plan qui implique la création d'un compte chez Stackingsat pour acheter des bitcoins régulièrement.,"Achat de bitcoins, Création de compte chez StackingSat, Sécurisation des bitcoins, Stratégie d'achat périodique, Green Wallet, Clé privée et sécurité, Création de portefeuille, Utilisation de Green Wallet, Gestion du pin personnel","""Guide pour Acheter des Bitcoins avec Stackingsat""","Création plan d'épargne Bitcoin - 50€/mois, tuto avec une débutante - [Tutoriel]",Découvre Bitcoin,00:13:31,Video Youtube,cb7a1e04078c2fbd27a552a63769342a9345104cfb2f4963626c12e3cd7362bb,"Bonjour à tous, bienvenue dans Découvre Bitcoin. Aujourd'hui, je suis avec Mathilde, qui souhaite acheter des bitcoins mais ne sait pas comment faire. Ensemble, nous mettons en place son plan d'épargne Bitcoin consistant à créer un compte chez Stacking Sat pour des achats réguliers de bitcoins et à sécuriser ces bitcoins dans un portefeuille Green Wallet. Mathilde se fixe un budget de 50 euros par mois pour ses achats de bitcoins. Nous créons son compte Stacking Sat et son portefeuille Green Wallet, lui permettant ainsi de recevoir et sécuriser ses bitcoins. Ensuite, nous mettons en place un virement récurrent","acheter du btc, dca, fréquence d'achat, utiliser bitcoin, plan d'épargne Bitcoin, tutoriel, stacking sat, portefeuille green wallet, sécurité, clé privée"
e8a4c5c3b41306b13da676d9aee92f97,acheter du btc,3. acheter du btc sur un exchange,1,https://www.youtube.com/watch?v=JVizZzRmJf8,comment j'utilise bitcoin,"Pour acheter des crypto-monnaies en quelques clics, accédez à l'onglet ""Comptes en euros"" depuis votre tableau de bord. Assurez-vous que votre compte de trading est approvisionné, puis cliquez sur ""Acheter ou Vendre"" ou sélectionnez ""Échanger"" dans le menu de gauche. Choisissez les devises de votre choix, saisissez le montant à acheter ou vendre, puis vérifiez les détails de l'opération en temps réel sur votre écran. Vous pouvez également utiliser le curseur pour sélectionner un pourcentage de votre solde disponible. Enfin, validez en glissant.","Acheter des crypto-monnaies, Tableau de bord, Comptes en euros, Acheter ou vendre / Échanger, Sélectionner des devises, Montant, Opération en temps réel, Curseur, Valider l'achat, Historique des transactions, Détails et exportation, Crédité sur le portefeuille Paymium","""Acheter des Cryptomonnaies Facilement: Guide Étape par Étape""",Comment acheter vos crypto-monnaies en quelques clics ?,Paymium,00:01:42,Video Youtube,f93e0a0e3a59b36064ccee8ec8529717af9bccba537fd4d9c47299a589680eb2,"Le contenu vidéo de Paymium intitulé ""Comment acheter vos crypto-monnaies en quelques clics ?"" explique comment acheter des crypto-monnaies rapidement. Depuis votre tableau de bord, accédez à l'onglet ""Comptes en euros"" pour vérifier si votre compte de trading est approvisionné. Sélectionnez les devises de votre choix, entrez le montant souhaité, puis validez l'opération. Consultez vos transactions dans la section ""Historique"" et recevez vos achats directement sur votre portefeuille Paymium.","Les mots-clés pertinents issus du contenu et des informations fournies sont : acheter du btc, crypto-monnaies, exchange, bitcoin, Euro Accounts, trading account, buy or sell, swap, transactions, Paymium wallet."
d737c02a1d125996e28aaf4f6abaa8fd,acheter du btc,3. acheter du btc sur un exchange,1,https://www.youtube.com/watch?v=8g9aGQ53T_A&list=PLinTFKehfR4wGzSb41gAaFFImT9c_hrJV&index=23,comment j'utilise bitcoin,"Le texte parle de la mise en place d'un compte sur la plateforme d'achat et de vente de bitcoins Stand 807. Cette plateforme est adaptée pour des transactions de gros montants, n'acceptant pas les petites sommes. Il mentionne également d'autres plateformes telles que Crackle Jimmy.","Création de compte sur une plateforme d'achat et de vente de bitcoin, Utilisation d'un gestionnaire de mots de passe, Sécurisation des informations personnelles, Processus de vérification ""Know Your Customer"", Risques liés à la sécurité des données personnelles, Vérification d'identité avec pièce d'identité, Reconnaissance faciale pour une étape supplémentaire de vérification, Authentification à deux facteurs pour sécuriser le compte","""Comptes de gros montants sur Stand 807 et Crackle Jimmy : plateformes de bitcoin de premier plan""",Tutoriel Bitstamp complet - (Achat-Vente de bitcoin + retrait),Découvre Bitcoin,00:18:41,Video Youtube,014c4be6acb46525b5fad146b60682b7ea28831b60ebcb5b8882a9530c2a5380,"Bonjour, je suis ravi de vous aider à configurer votre compte sur Bitstamp, une plateforme d'achat et de vente de bitcoin régulée. Vous devrez sécuriser votre compte en créant un mot de passe long et complexe, puis valider votre mail et fournir vos informations personnelles pour respecter les réglementations. Ensuite, vous pourrez acheter des bitcoins en utilisant un virement SEPA pour des montants importants. Enfin, il est crucial de retirer vos bitcoins vers un portefeuille froid pour plus de sécurité. Si vous avez des questions, n'hésitez pas à demander.","acheter du btc, acheter bitcoin, exchange, tutoriel, Bitstamp, plateforme d'achat, vente de bitcoin, retrait, compte, gestionnaire de mots de passe, sécurisation, données personnelles, vérification d'identité, virement SEPA, frais, portefeuille froid, sécurité, héritage, déclaration aux impôts."
8fbec7650c3c5fd808b1c88943e763cc,acheter du btc,3. acheter du btc sur un exchange,1,https://www.youtube.com/watch?v=OxdgmDxOMRY&t=319s,comment j'utilise bitcoin,"Apple envisage d'accepter Bitcoin sur Apple Pay à l'avenir mais n'a pas de plans immédiats à ce sujet. Ils ne prévoient pas d'investir leur trésorerie dans la cryptomonnaie, arguant que les investisseurs achètent des actions Apple pour une exposition différente.","Accepting Bitcoin on Apple Pay, CEO Tim Apple's comments on cryptocurrency, Diversified portfolio, Citadel Dispatch show, Bitcoin, distributed systems, privacy, open source software, Support from the audience, Bitcoin Q&A, Buying Bitcoin, Exchanges and KYC regulations","""Apple envisage d'accepter Bitcoin sur Apple Pay à l'avenir""",Citadel Dispatch E43: bitcoin for beginners with @BitcoinQ A,Citadel Dispatch,02:15:57,Video Youtube,20c610c4cc669308e3a2b8eb46c1b65c4a41254e6ec3ae573a8612acdd21abd6,,
9b5811d298593f144b8cfb3da4c20641,acheter du btc,1. vue d'ensemble,1,https://unchained.com/blog/ways-to-buy-bitcoin/,comment j'utilise bitcoin,"Comparaison des meilleures façons d'acheter du bitcoin : échanges, P2P, guichets automatiques, et plus encore.","Façons d'acheter du bitcoin : échanges, P2P, guichets automatiques, et plus, Plateformes d'échange de cryptomonnaies, Courtiers en cryptomonnaies, Applications de paiement, Bureaux de trading de gré à gré, Plateformes de trading peer-to-peer, Distributeurs automatiques de bitcoin, Bons d'achat bitcoin, Bitcoin par procuration, Avantages et inconvénients des échanges de cryptomonnaies, Frais et limites, Confidentialité, Sécurité et garde, Règles AML/KYC, Risques li","""Guide d'achat de Bitcoin : Comparaison des Méthodes - Échanges, P2P, Guichets Automatiques et Plus",,,,,,,
